name,regex,example,description
mobile_space_12,\b1[3-9]\d{2}[-\s]?\d{4}[-\s]?\d{4}\b,138-1012-1234,Imported from previous huge_rules (no description).
token_base64_like_13,"[A-Za-z0-9_-]{20,300}",dGhpcy1pc19hLXRlc3Qtc3RyaW5nLXRvLW1hdGNo,Imported from previous huge_rules (no description).
order_no_14,"\bORD[-_ ]?\d{6,12}\b",ORD-100014,Imported from previous huge_rules (no description).
log_token_param_15,"token=[0-9a-zA-Z\-_.]{10,}",token=abc123DEF_456-xyz,Imported from previous huge_rules (no description).
invoice_no_16,"\bINV[-_ ]?\d{6,12}\b",INV200016,Imported from previous huge_rules (no description).
hex_32_17,\b[0-9a-fA-F]{32}\b,e452231fa4e2ac7e2c12892ff118ad9e,Imported from previous huge_rules (no description).
uuid_nohyphen_18,\b[0-9a-fA-F]{32}\b,eabd2f29ea43695e1b0e9362cdae545f,Imported from previous huge_rules (no description).
short_uuid_19,\b[0-9a-fA-F]{8}\b,f5860f64,Imported from previous huge_rules (no description).
short_uuid_20,\b[0-9a-fA-F]{8}\b,df8d6847,Imported from previous huge_rules (no description).
email_variation_21,"[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[A-Za-z]{2,4}",user21@sub.example.co,Imported from previous huge_rules (no description).
mobile_space_22,\b1[3-9]\d{2}[-\s]?\d{4}[-\s]?\d{4}\b,138-1022-1234,Imported from previous huge_rules (no description).
token_base64_like_23,"[A-Za-z0-9_-]{20,300}",dGhpcy1pc19hLXRlc3Qtc3RyaW5nLXRvLW1hdGNo,Imported from previous huge_rules (no description).
order_no_24,"\bORD[-_ ]?\d{6,12}\b",ORD-100024,Imported from previous huge_rules (no description).
log_token_param_25,"token=[0-9a-zA-Z\-_.]{10,}",token=abc123DEF_456-xyz,Imported from previous huge_rules (no description).
invoice_no_26,"\bINV[-_ ]?\d{6,12}\b",INV200026,Imported from previous huge_rules (no description).
hex_32_27,\b[0-9a-fA-F]{32}\b,5c22d153fadff29460cc24683b8c3aeb,Imported from previous huge_rules (no description).
uuid_nohyphen_28,\b[0-9a-fA-F]{32}\b,f386e50840af800e207eeeb83d18b75c,Imported from previous huge_rules (no description).
short_uuid_29,\b[0-9a-fA-F]{8}\b,bf323707,Imported from previous huge_rules (no description).
short_uuid_30,\b[0-9a-fA-F]{8}\b,0efc9468,Imported from previous huge_rules (no description).
email_variation_31,"[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[A-Za-z]{2,4}",user31@sub.example.co,Imported from previous huge_rules (no description).
mobile_space_32,\b1[3-9]\d{2}[-\s]?\d{4}[-\s]?\d{4}\b,138-1032-1234,Imported from previous huge_rules (no description).
token_base64_like_33,"[A-Za-z0-9_-]{20,300}",dGhpcy1pc19hLXRlc3Qtc3RyaW5nLXRvLW1hdGNo,Imported from previous huge_rules (no description).
order_no_34,"\bORD[-_ ]?\d{6,12}\b",ORD-100034,Imported from previous huge_rules (no description).
log_token_param_35,"token=[0-9a-zA-Z\-_.]{10,}",token=abc123DEF_456-xyz,Imported from previous huge_rules (no description).
invoice_no_36,"\bINV[-_ ]?\d{6,12}\b",INV200036,Imported from previous huge_rules (no description).
hex_32_37,\b[0-9a-fA-F]{32}\b,9af613f67bf86b00d971ebcdde425bad,Imported from previous huge_rules (no description).
uuid_nohyphen_38,\b[0-9a-fA-F]{32}\b,90e89732084ec1d97b445d61150c67b1,Imported from previous huge_rules (no description).
short_uuid_39,\b[0-9a-fA-F]{8}\b,33c0cff6,Imported from previous huge_rules (no description).
short_uuid_40,\b[0-9a-fA-F]{8}\b,476aafe0,Imported from previous huge_rules (no description).
email_variation_41,"[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[A-Za-z]{2,4}",user41@sub.example.co,Imported from previous huge_rules (no description).
mobile_space_42,\b1[3-9]\d{2}[-\s]?\d{4}[-\s]?\d{4}\b,138-1042-1234,Imported from previous huge_rules (no description).
token_base64_like_43,"[A-Za-z0-9_-]{20,300}",dGhpcy1pc19hLXRlc3Qtc3RyaW5nLXRvLW1hdGNo,Imported from previous huge_rules (no description).
order_no_44,"\bORD[-_ ]?\d{6,12}\b",ORD-100044,Imported from previous huge_rules (no description).
log_token_param_45,"token=[0-9a-zA-Z\-_.]{10,}",token=abc123DEF_456-xyz,Imported from previous huge_rules (no description).
invoice_no_46,"\bINV[-_ ]?\d{6,12}\b",INV200046,Imported from previous huge_rules (no description).
hex_32_47,\b[0-9a-fA-F]{32}\b,c4a6f84ae90d0592ce06b3dc62cda7a9,Imported from previous huge_rules (no description).
uuid_nohyphen_48,\b[0-9a-fA-F]{32}\b,4168b18a0e2994869bd4fe346e859406,Imported from previous huge_rules (no description).
short_uuid_49,\b[0-9a-fA-F]{8}\b,ac52abb1,Imported from previous huge_rules (no description).
short_uuid_50,\b[0-9a-fA-F]{8}\b,8b328c21,Imported from previous huge_rules (no description).
email_variation_51,"[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[A-Za-z]{2,4}",user51@sub.example.co,Imported from previous huge_rules (no description).
mobile_space_52,\b1[3-9]\d{2}[-\s]?\d{4}[-\s]?\d{4}\b,138-1052-1234,Imported from previous huge_rules (no description).
token_base64_like_53,"[A-Za-z0-9_-]{20,300}",dGhpcy1pc19hLXRlc3Qtc3RyaW5nLXRvLW1hdGNo,Imported from previous huge_rules (no description).
order_no_54,"\bORD[-_ ]?\d{6,12}\b",ORD-100054,Imported from previous huge_rules (no description).
log_token_param_55,"token=[0-9a-zA-Z\-_.]{10,}",token=abc123DEF_456-xyz,Imported from previous huge_rules (no description).
invoice_no_56,"\bINV[-_ ]?\d{6,12}\b",INV200056,Imported from previous huge_rules (no description).
hex_32_57,\b[0-9a-fA-F]{32}\b,309abd446c424db63551221697d4035d,Imported from previous huge_rules (no description).
uuid_nohyphen_58,\b[0-9a-fA-F]{32}\b,4367add8acb34e4567ba9daedb681d83,Imported from previous huge_rules (no description).
short_uuid_59,\b[0-9a-fA-F]{8}\b,33afccd6,Imported from previous huge_rules (no description).
short_uuid_60,\b[0-9a-fA-F]{8}\b,d01e511c,Imported from previous huge_rules (no description).
email_variation_61,"[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[A-Za-z]{2,4}",user61@sub.example.co,Imported from previous huge_rules (no description).
mobile_space_62,\b1[3-9]\d{2}[-\s]?\d{4}[-\s]?\d{4}\b,138-1062-1234,Imported from previous huge_rules (no description).
token_base64_like_63,"[A-Za-z0-9_-]{20,300}",dGhpcy1pc19hLXRlc3Qtc3RyaW5nLXRvLW1hdGNo,Imported from previous huge_rules (no description).
order_no_64,"\bORD[-_ ]?\d{6,12}\b",ORD-100064,Imported from previous huge_rules (no description).
log_token_param_65,"token=[0-9a-zA-Z\-_.]{10,}",token=abc123DEF_456-xyz,Imported from previous huge_rules (no description).
invoice_no_66,"\bINV[-_ ]?\d{6,12}\b",INV200066,Imported from previous huge_rules (no description).
hex_32_67,\b[0-9a-fA-F]{32}\b,dbd1536ac48e2cf2ce5e2792ba340d4c,Imported from previous huge_rules (no description).
uuid_nohyphen_68,\b[0-9a-fA-F]{32}\b,d0ba764812735fbc9ade60d1366c2597,Imported from previous huge_rules (no description).
short_uuid_69,\b[0-9a-fA-F]{8}\b,3bae847f,Imported from previous huge_rules (no description).
short_uuid_70,\b[0-9a-fA-F]{8}\b,b2298b7a,Imported from previous huge_rules (no description).
email_variation_71,"[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[A-Za-z]{2,4}",user71@sub.example.co,Imported from previous huge_rules (no description).
mobile_space_72,\b1[3-9]\d{2}[-\s]?\d{4}[-\s]?\d{4}\b,138-1072-1234,Imported from previous huge_rules (no description).
token_base64_like_73,"[A-Za-z0-9_-]{20,300}",dGhpcy1pc19hLXRlc3Qtc3RyaW5nLXRvLW1hdGNo,Imported from previous huge_rules (no description).
order_no_74,"\bORD[-_ ]?\d{6,12}\b",ORD-100074,Imported from previous huge_rules (no description).
log_token_param_75,"token=[0-9a-zA-Z\-_.]{10,}",token=abc123DEF_456-xyz,Imported from previous huge_rules (no description).
invoice_no_76,"\bINV[-_ ]?\d{6,12}\b",INV200076,Imported from previous huge_rules (no description).
hex_32_77,\b[0-9a-fA-F]{32}\b,b2cff5f8edfcb19e3c482ee88326084d,Imported from previous huge_rules (no description).
uuid_nohyphen_78,\b[0-9a-fA-F]{32}\b,a53b31e50b1f0afbed0f3571ec789f2a,Imported from previous huge_rules (no description).
short_uuid_79,\b[0-9a-fA-F]{8}\b,a339d8d1,Imported from previous huge_rules (no description).
short_uuid_80,\b[0-9a-fA-F]{8}\b,1eadda4f,Imported from previous huge_rules (no description).
email_variation_81,"[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[A-Za-z]{2,4}",user81@sub.example.co,Imported from previous huge_rules (no description).
mobile_space_82,\b1[3-9]\d{2}[-\s]?\d{4}[-\s]?\d{4}\b,138-1082-1234,Imported from previous huge_rules (no description).
token_base64_like_83,"[A-Za-z0-9_-]{20,300}",dGhpcy1pc19hLXRlc3Qtc3RyaW5nLXRvLW1hdGNo,Imported from previous huge_rules (no description).
order_no_84,"\bORD[-_ ]?\d{6,12}\b",ORD-100084,Imported from previous huge_rules (no description).
log_token_param_85,"token=[0-9a-zA-Z\-_.]{10,}",token=abc123DEF_456-xyz,Imported from previous huge_rules (no description).
invoice_no_86,"\bINV[-_ ]?\d{6,12}\b",INV200086,Imported from previous huge_rules (no description).
hex_32_87,\b[0-9a-fA-F]{32}\b,0873081faff94ee43a295d692d13713e,Imported from previous huge_rules (no description).
uuid_nohyphen_88,\b[0-9a-fA-F]{32}\b,9efc3da457a8e2f1a836d8bf422e0b28,Imported from previous huge_rules (no description).
short_uuid_89,\b[0-9a-fA-F]{8}\b,a3065a87,Imported from previous huge_rules (no description).
short_uuid_90,\b[0-9a-fA-F]{8}\b,c0a8683d,Imported from previous huge_rules (no description).
email_variation_91,"[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[A-Za-z]{2,4}",user91@sub.example.co,Imported from previous huge_rules (no description).
mobile_space_92,\b1[3-9]\d{2}[-\s]?\d{4}[-\s]?\d{4}\b,138-1092-1234,Imported from previous huge_rules (no description).
token_base64_like_93,"[A-Za-z0-9_-]{20,300}",dGhpcy1pc19hLXRlc3Qtc3RyaW5nLXRvLW1hdGNo,Imported from previous huge_rules (no description).
order_no_94,"\bORD[-_ ]?\d{6,12}\b",ORD-100094,Imported from previous huge_rules (no description).
log_token_param_95,"token=[0-9a-zA-Z\-_.]{10,}",token=abc123DEF_456-xyz,Imported from previous huge_rules (no description).
invoice_no_96,"\bINV[-_ ]?\d{6,12}\b",INV200096,Imported from previous huge_rules (no description).
hex_32_97,\b[0-9a-fA-F]{32}\b,f6c0acde5d7e483c81a40ec2b5988388,Imported from previous huge_rules (no description).
uuid_nohyphen_98,\b[0-9a-fA-F]{32}\b,8ef71eae0de69a4859b4d7e5e0925f74,Imported from previous huge_rules (no description).
short_uuid_99,\b[0-9a-fA-F]{8}\b,408aa86d,Imported from previous huge_rules (no description).
short_uuid_100,\b[0-9a-fA-F]{8}\b,e4bb3b1b,Imported from previous huge_rules (no description).
email_variation_101,"[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[A-Za-z]{2,4}",user101@sub.example.co,Imported from previous huge_rules (no description).
mobile_space_102,\b1[3-9]\d{2}[-\s]?\d{4}[-\s]?\d{4}\b,138-1102-1234,Imported from previous huge_rules (no description).
token_base64_like_103,"[A-Za-z0-9_-]{20,300}",dGhpcy1pc19hLXRlc3Qtc3RyaW5nLXRvLW1hdGNo,Imported from previous huge_rules (no description).
order_no_104,"\bORD[-_ ]?\d{6,12}\b",ORD-100104,Imported from previous huge_rules (no description).
log_token_param_105,"token=[0-9a-zA-Z\-_.]{10,}",token=abc123DEF_456-xyz,Imported from previous huge_rules (no description).
invoice_no_106,"\bINV[-_ ]?\d{6,12}\b",INV200106,Imported from previous huge_rules (no description).
hex_32_107,\b[0-9a-fA-F]{32}\b,4748ad847692fb1cf43cf03e3cfc3c9f,Imported from previous huge_rules (no description).
uuid_nohyphen_108,\b[0-9a-fA-F]{32}\b,d6db8b7528bce102a9f7515539d1bbe9,Imported from previous huge_rules (no description).
short_uuid_109,\b[0-9a-fA-F]{8}\b,70db7b1c,Imported from previous huge_rules (no description).
short_uuid_110,\b[0-9a-fA-F]{8}\b,3aab15a4,Imported from previous huge_rules (no description).
email_variation_111,"[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[A-Za-z]{2,4}",user111@sub.example.co,Imported from previous huge_rules (no description).
mobile_space_112,\b1[3-9]\d{2}[-\s]?\d{4}[-\s]?\d{4}\b,138-1112-1234,Imported from previous huge_rules (no description).
token_base64_like_113,"[A-Za-z0-9_-]{20,300}",dGhpcy1pc19hLXRlc3Qtc3RyaW5nLXRvLW1hdGNo,Imported from previous huge_rules (no description).
order_no_114,"\bORD[-_ ]?\d{6,12}\b",ORD-100114,Imported from previous huge_rules (no description).
log_token_param_115,"token=[0-9a-zA-Z\-_.]{10,}",token=abc123DEF_456-xyz,Imported from previous huge_rules (no description).
invoice_no_116,"\bINV[-_ ]?\d{6,12}\b",INV200116,Imported from previous huge_rules (no description).
hex_32_117,\b[0-9a-fA-F]{32}\b,ae9fd3ede437f079d1a5d84662a52859,Imported from previous huge_rules (no description).
uuid_nohyphen_118,\b[0-9a-fA-F]{32}\b,158c9f46202dde71225c4a5c7cf95619,Imported from previous huge_rules (no description).
short_uuid_119,\b[0-9a-fA-F]{8}\b,043b225e,Imported from previous huge_rules (no description).
short_uuid_120,\b[0-9a-fA-F]{8}\b,63e4efcc,Imported from previous huge_rules (no description).
email_variation_121,"[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[A-Za-z]{2,4}",user121@sub.example.co,Imported from previous huge_rules (no description).
mobile_space_122,\b1[3-9]\d{2}[-\s]?\d{4}[-\s]?\d{4}\b,138-1122-1234,Imported from previous huge_rules (no description).
token_base64_like_123,"[A-Za-z0-9_-]{20,300}",dGhpcy1pc19hLXRlc3Qtc3RyaW5nLXRvLW1hdGNo,Imported from previous huge_rules (no description).
order_no_124,"\bORD[-_ ]?\d{6,12}\b",ORD-100124,Imported from previous huge_rules (no description).
log_token_param_125,"token=[0-9a-zA-Z\-_.]{10,}",token=abc123DEF_456-xyz,Imported from previous huge_rules (no description).
invoice_no_126,"\bINV[-_ ]?\d{6,12}\b",INV200126,Imported from previous huge_rules (no description).
hex_32_127,\b[0-9a-fA-F]{32}\b,2e14cf5f68725da26d7e737a49044509,Imported from previous huge_rules (no description).
uuid_nohyphen_128,\b[0-9a-fA-F]{32}\b,b899baed52b66a96385a5c07800fb1f3,Imported from previous huge_rules (no description).
short_uuid_129,\b[0-9a-fA-F]{8}\b,9aa7fb54,Imported from previous huge_rules (no description).
short_uuid_130,\b[0-9a-fA-F]{8}\b,6d02275d,Imported from previous huge_rules (no description).
email_variation_131,"[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[A-Za-z]{2,4}",user131@sub.example.co,Imported from previous huge_rules (no description).
mobile_space_132,\b1[3-9]\d{2}[-\s]?\d{4}[-\s]?\d{4}\b,138-1132-1234,Imported from previous huge_rules (no description).
token_base64_like_133,"[A-Za-z0-9_-]{20,300}",dGhpcy1pc19hLXRlc3Qtc3RyaW5nLXRvLW1hdGNo,Imported from previous huge_rules (no description).
order_no_134,"\bORD[-_ ]?\d{6,12}\b",ORD-100134,Imported from previous huge_rules (no description).
log_token_param_135,"token=[0-9a-zA-Z\-_.]{10,}",token=abc123DEF_456-xyz,Imported from previous huge_rules (no description).
invoice_no_136,"\bINV[-_ ]?\d{6,12}\b",INV200136,Imported from previous huge_rules (no description).
hex_32_137,\b[0-9a-fA-F]{32}\b,a9820fb33628610a38b3bc7dabc31299,Imported from previous huge_rules (no description).
uuid_nohyphen_138,\b[0-9a-fA-F]{32}\b,495abee42d0d75104a215d7dbc900dc7,Imported from previous huge_rules (no description).
short_uuid_139,\b[0-9a-fA-F]{8}\b,5db0e4c1,Imported from previous huge_rules (no description).
short_uuid_140,\b[0-9a-fA-F]{8}\b,4dfa331b,Imported from previous huge_rules (no description).
email_variation_141,"[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[A-Za-z]{2,4}",user141@sub.example.co,Imported from previous huge_rules (no description).
mobile_space_142,\b1[3-9]\d{2}[-\s]?\d{4}[-\s]?\d{4}\b,138-1142-1234,Imported from previous huge_rules (no description).
token_base64_like_143,"[A-Za-z0-9_-]{20,300}",dGhpcy1pc19hLXRlc3Qtc3RyaW5nLXRvLW1hdGNo,Imported from previous huge_rules (no description).
order_no_144,"\bORD[-_ ]?\d{6,12}\b",ORD-100144,Imported from previous huge_rules (no description).
log_token_param_145,"token=[0-9a-zA-Z\-_.]{10,}",token=abc123DEF_456-xyz,Imported from previous huge_rules (no description).
invoice_no_146,"\bINV[-_ ]?\d{6,12}\b",INV200146,Imported from previous huge_rules (no description).
hex_32_147,\b[0-9a-fA-F]{32}\b,19567b7682dfdfdda7aaf17360877acd,Imported from previous huge_rules (no description).
uuid_nohyphen_148,\b[0-9a-fA-F]{32}\b,b6f6659a034c322335b9dad5d5262d3d,Imported from previous huge_rules (no description).
short_uuid_149,\b[0-9a-fA-F]{8}\b,d71e8535,Imported from previous huge_rules (no description).
short_uuid_150,\b[0-9a-fA-F]{8}\b,b493d8fa,Imported from previous huge_rules (no description).
email_variation_151,"[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[A-Za-z]{2,4}",user151@sub.example.co,Imported from previous huge_rules (no description).
mobile_space_152,\b1[3-9]\d{2}[-\s]?\d{4}[-\s]?\d{4}\b,138-1152-1234,Imported from previous huge_rules (no description).
token_base64_like_153,"[A-Za-z0-9_-]{20,300}",dGhpcy1pc19hLXRlc3Qtc3RyaW5nLXRvLW1hdGNo,Imported from previous huge_rules (no description).
order_no_154,"\bORD[-_ ]?\d{6,12}\b",ORD-100154,Imported from previous huge_rules (no description).
log_token_param_155,"token=[0-9a-zA-Z\-_.]{10,}",token=abc123DEF_456-xyz,Imported from previous huge_rules (no description).
invoice_no_156,"\bINV[-_ ]?\d{6,12}\b",INV200156,Imported from previous huge_rules (no description).
hex_32_157,\b[0-9a-fA-F]{32}\b,a504ea4659b0186356623b57c6a8bb90,Imported from previous huge_rules (no description).
uuid_nohyphen_158,\b[0-9a-fA-F]{32}\b,f2e47754071da9f8330104c956ac6b18,Imported from previous huge_rules (no description).
short_uuid_159,\b[0-9a-fA-F]{8}\b,577b8e0e,Imported from previous huge_rules (no description).
short_uuid_160,\b[0-9a-fA-F]{8}\b,c75c8386,Imported from previous huge_rules (no description).
iban_simple,"\b[A-Z]{2}\d{2}[A-Z0-9]{4,30}\b",GB29NWBK60161331926819,Imported from previous huge_rules (no description).
swift_bic,\b[A-Z]{6}[A-Z0-9]{2}([A-Z0-9]{3})?\b,NWBKGB2L,Imported from previous huge_rules (no description).
visa_card,\b4[0-9]{12}(?:[0-9]{3})?\b,4111111111111111,Imported from previous huge_rules (no description).
mastercard,\b5[1-5][0-9]{14}\b,5500000000000004,Imported from previous huge_rules (no description).
amex,\b3[47][0-9]{13}\b,340000000000009,Imported from previous huge_rules (no description).
diners,\b3(?:0[0-5]|[68][0-9])[0-9]{11}\b,30569309025904,Imported from previous huge_rules (no description).
discover,\b6(?:011|5[0-9]{2})[0-9]{12}\b,6011111111111117,Imported from previous huge_rules (no description).
mac_addr,\b(?:[0-9A-Fa-f]{2}:){5}[0-9A-Fa-f]{2}\b,00:1A:2B:3C:4D:5E,Imported from previous huge_rules (no description).
lat_lon,"\b-?\d{1,3}\.\d+,\s*-?\d{1,3}\.\d+\b","37.7749,-122.4194",Imported from previous huge_rules (no description).
datetime_iso,\b\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}Z\b,2023-08-01T12:00:00Z,Imported from previous huge_rules (no description).
date_ymd,\b\d{4}-\d{2}-\d{2}\b,2020-01-15,Imported from previous huge_rules (no description).
time_hms,\b\d{2}:\d{2}:\d{2}\b,14:23:01,Imported from previous huge_rules (no description).
ipv6,"\b(?:[0-9a-fA-F]{1,4}:){7}[0-9a-fA-F]{1,4}\b",2001:0db8:85a3:0000:0000:8a2e:0370:7334,Imported from previous huge_rules (no description).
mqtt_clientid,"\bclientId=[A-Za-z0-9_-]{1,64}\b",clientId=my-device-01,Imported from previous huge_rules (no description).
jwt_like,"[A-Za-z0-9_-]{10,}\.[A-Za-z0-9_-]{10,}\.[A-Za-z0-9_-]{10,}",eyJhbGciOiJIUzI1NiIsInR...,Imported from previous huge_rules (no description).
vin,\b[0-9A-HJ-NPR-Z]{17}\b,1HGCM82633A004352,Imported from previous huge_rules (no description).
passport_generic,\b[A-PR-WY][1-9]\d\s?\d{4}[1-9]\b,P1234567,Imported from previous huge_rules (no description).
cn_bank_name,(中国银行|工商银行|建设银行|农业银行|招商银行),工商银行,Imported from previous huge_rules (no description).
cn_address_short,"(市|省|区|县|路|街|号)\d{1,4}",朝阳区100号,Imported from previous huge_rules (no description).
cn_name_simple,"[\u4e00-\u9fff]{2,4}",张三丰,Imported from previous huge_rules (no description).
employee_id,"\bEID[-_]?\d{3,8}\b",EID-000123,Imported from previous huge_rules (no description).
student_id,"\bS\d{6,10}\b",S20230001,Imported from previous huge_rules (no description).
tracking_cn,"\b\d{14,16}\b",12345678901234,Imported from previous huge_rules (no description).
container_no,\b[A-Z]{4}\d{7}\b,MSCU1234567,Imported from previous huge_rules (no description).
us_phone_paren,\(\d{3}\)\s*\d{3}-\d{4},(415) 555-2671,Imported from previous huge_rules (no description).
generic_seq_197,"\bTOKEN197[A-Z]{3,6}\b",TOKEN197XYZ,Imported from previous huge_rules (no description).
generic_seq_198,"\bREF198[: ]\d{2,6}\b",REF198: 55,Imported from previous huge_rules (no description).
generic_seq_199,"\bCODE199[:\-]?\d{4,8}\b",CODE199-1234,Imported from previous huge_rules (no description).
generic_seq_200,"\bTOKEN200[A-Z]{3,6}\b",TOKEN200XYZ,Imported from previous huge_rules (no description).
generic_seq_201,"\bREF201[: ]\d{2,6}\b",REF201: 55,Imported from previous huge_rules (no description).
generic_seq_202,"\bCODE202[:\-]?\d{4,8}\b",CODE202-1234,Imported from previous huge_rules (no description).
generic_seq_203,"\bTOKEN203[A-Z]{3,6}\b",TOKEN203XYZ,Imported from previous huge_rules (no description).
generic_seq_204,"\bREF204[: ]\d{2,6}\b",REF204: 55,Imported from previous huge_rules (no description).
generic_seq_205,"\bCODE205[:\-]?\d{4,8}\b",CODE205-1234,Imported from previous huge_rules (no description).
generic_seq_206,"\bTOKEN206[A-Z]{3,6}\b",TOKEN206XYZ,Imported from previous huge_rules (no description).
generic_seq_207,"\bREF207[: ]\d{2,6}\b",REF207: 55,Imported from previous huge_rules (no description).
generic_seq_208,"\bCODE208[:\-]?\d{4,8}\b",CODE208-1234,Imported from previous huge_rules (no description).
generic_seq_209,"\bTOKEN209[A-Z]{3,6}\b",TOKEN209XYZ,Imported from previous huge_rules (no description).
generic_seq_210,"\bREF210[: ]\d{2,6}\b",REF210: 55,Imported from previous huge_rules (no description).
generic_seq_211,"\bCODE211[:\-]?\d{4,8}\b",CODE211-1234,Imported from previous huge_rules (no description).
generic_seq_212,"\bTOKEN212[A-Z]{3,6}\b",TOKEN212XYZ,Imported from previous huge_rules (no description).
generic_seq_213,"\bREF213[: ]\d{2,6}\b",REF213: 55,Imported from previous huge_rules (no description).
generic_seq_214,"\bCODE214[:\-]?\d{4,8}\b",CODE214-1234,Imported from previous huge_rules (no description).
generic_seq_215,"\bTOKEN215[A-Z]{3,6}\b",TOKEN215XYZ,Imported from previous huge_rules (no description).
generic_seq_216,"\bREF216[: ]\d{2,6}\b",REF216: 55,Imported from previous huge_rules (no description).
generic_seq_217,"\bCODE217[:\-]?\d{4,8}\b",CODE217-1234,Imported from previous huge_rules (no description).
generic_seq_218,"\bTOKEN218[A-Z]{3,6}\b",TOKEN218XYZ,Imported from previous huge_rules (no description).
generic_seq_219,"\bREF219[: ]\d{2,6}\b",REF219: 55,Imported from previous huge_rules (no description).
generic_seq_220,"\bCODE220[:\-]?\d{4,8}\b",CODE220-1234,Imported from previous huge_rules (no description).
mobile_dash_221,\b1[3-9]\d{2}[-\s]?\d{4}[-\s]?\d{4}\b,138-1221-1234,中国大陆手机号带短横分隔
token_base64_222,"[A-Za-z0-9_-]{20,300}",d38660e7cc7ad2353fb7387bead5dfccbcbe,看起来像长令牌/密钥的字母数字串
order_no_223,"\bORD[-_ ]?\d{6,12}\b",ORD-100223,订单号（ORD 前缀）
